Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
1701,Cambridge Middle School,9,Q,8,459,Restricted Composite (Year 7-10),State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1702,Cambridge School,9,Q,0,353,Contributing,State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1242,Campbells Bay School,10,Z,0,761,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
211,Campion College,6,N,365,505,Secondary (Year 7-15),State: Integrated,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3307,Cannington School,6,N,0,21,Full Primary,State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
2818,Cannons Creek School,1,A,0,164,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3186,Canvastown School,6,N,0,35,Full Primary,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
2819,Cardinal McKeefry School (Wilton),10,Z,0,100,Full Primary,State: Integrated,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3308,Carew Peel Forest School,10,Z,0,75,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
1704,Cargill Open Plan School,2,E,0,126,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
648,Carisbrook School,3,G,0,342,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
523,Carlson School (Cerebral Palsy),4,J,25,59,Special School,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
2345,Carlton School,3,H,0,301,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
35,Carmel College,9,Q,738,1039,Secondary (Year 7-15),State: Integrated,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
2820,Carterton School,6,N,0,322,Full Primary,State,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3309,Casebrook Intermediate,6,N,0,368,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2821,Cashmere Avenue School,10,Z,0,354,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
340,Cashmere High School,9,Q,1696,1696,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3310,Cashmere Primary School,10,Z,0,482,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
2346,Castlecliff School,1,C,0,100,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
531,Catholic Cathedral College,4,J,329,381,Secondary (Year 7-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1705,Centennial Park School,1,B,0,113,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
233,Central Hawkes Bay College,4,L,535,535,Secondary (Year 9-15),State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
2418,Central Normal School,4,J,0,461,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2160,Central School,8,P,0,272,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
399,Central Southland College,6,N,450,450,Secondary (Year 9-15),State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3225,Central Takaka School,6,N,0,27,Contributing,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
244,Chanel College,5,M,206,286,Secondary (Year 7-15),State: Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1581,Chapel Downs School,2,E,0,591,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1243,Chaucer School,4,J,0,238,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1244,Chelsea School,10,Z,0,392,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
2347,Cheltenham School,2,F,0,14,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3313,Chertsey School,7,O,0,29,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
309,Cheviot Area School,4,L,55,183,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
3314,Chisnallwood Intermediate,5,M,0,637,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1245,Christ the King Catholic School (Owairaka),3,G,0,165,Full Primary,State: Integrated,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
3316,Christ The King School (Burnside),8,P,0,324,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
317,Christchurch Adventist School,5,M,90,223,Composite (Year 1-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
327,Christchurch Boys' High School,10,Z,1315,1315,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3317,Christchurch East School,3,H,0,220,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
328,Christchurch Girls' High School,9,Q,1029,1029,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3318,Christchurch South Intermediate,8,P,0,516,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1138,Christian Renewal School,4,L,99,203,Composite (Year 1-15),State: Integrated,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1246,Churchill Park School,10,Z,0,429,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
2824,Churton Park School,10,Z,0,362,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
2348,Churton School,3,H,0,129,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3321,Clarkville School,10,Z,0,214,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1247,Clayton Park School,2,D,0,447,Full Primary,State,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Tamaki Makaurau
6980,Clearview Primary,10,Z,0,620,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1248,Clendon Park School,1,B,0,574,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1249,Clevedon School,9,Q,0,357,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2349,Clifton School (Bulls),4,L,0,126,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2826,Clifton Terrace Model School,8,P,0,56,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3187,Clifton Terrace School,9,Q,0,312,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3723,Clinton School,5,M,0,89,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2549,Clive School,7,O,0,227,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2350,Cloverlea School,3,I,0,273,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
3724,Clutha Valley School,9,Q,0,95,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2827,Clyde Quay School,10,Z,0,228,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3725,Clyde School,9,Q,0,126,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
551,Coastal Taranaki School,7,O,63,315,Composite (Year 1-15),State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1252,Coatesville School,10,Z,0,266,Contributing,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
3322,Cobden School,3,G,0,144,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
3323,Cobham Intermediate,8,P,0,623,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2550,Cobham School,1,A,0,43,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1253,Cockle Bay School,10,Z,0,706,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
2352,Coley Street School,2,F,0,226,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2353,College Street Normal School,8,P,0,569,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
290,Collingwood Area School,7,O,47,124,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
386,Columba College,10,Z,359,605,Composite (Year 1-15),State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1706,Colville School,2,F,0,30,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1254,Colwill School,2,E,0,226,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
2354,Colyton School,9,Q,0,82,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3727,Concord School,4,K,0,79,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1255,Conifer Grove School,4,K,0,528,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2828,Corinna School,1,A,0,216,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1172,Cornerstone Christian School,7,O,31,309,Composite (Year 1-15),State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
1256,Cornwall Park District School,9,Q,0,657,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
1707,Coroglen School,5,M,0,38,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
109,Coromandel Area School,3,G,51,175,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1257,Cosgrove School,1,B,0,611,Contributing,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3324,Cotswold School,8,P,0,532,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
357,Craighead Diocesan School,9,Q,304,341,Secondary (Year 7-15),State: Integrated,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2096,Crawshaw School,1,A,0,286,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2823,Crofton Downs Primary School,10,Z,0,178,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
373,Cromwell College,8,P,254,383,Secondary (Year 7-15),State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
3729,Cromwell Primary School,9,Q,0,210,Contributing,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
190,Cullinane College,4,J,275,275,Secondary (Year 9-15),State: Integrated,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3325,Cust School,10,Z,0,147,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1258,Dairy Flat School,10,Z,0,257,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
2831,Dalefield School,7,O,0,55,Full Primary,State,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
234,Dannevirke High School,4,K,426,426,Secondary (Year 9-15),State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2553,Dannevirke South School,4,L,0,309,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
346,Darfield High School,9,Q,465,713,Secondary (Year 7-15),State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3326,Darfield School,8,P,0,208,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
19,Dargaville High School,3,I,441,441,Secondary (Year 9-15),State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1008,Dargaville Intermediate,4,J,0,186,Intermediate,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1009,Dargaville Primary School,4,K,0,358,Contributing,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1708,David Henry School,1,C,0,66,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
1709,David Street School,6,N,0,424,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1259,Dawson School,1,A,0,398,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Botany,Tamaki Makaurau
94,De La Salle College,1,C,763,989,Secondary (Year 7-15),State: Integrated,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1710,Deanwell School,3,H,0,380,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2161,Devon Intermediate,4,K,0,292,Intermediate,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1260,Devonport School,10,Z,0,312,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
3327,Diamond Harbour School,10,Z,0,145,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3943,Dipton School,9,Q,0,63,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2832,Discovery School,10,Z,0,457,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1261,Dominion Road School,3,G,0,324,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1262,Don Buck School,2,F,0,226,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
2119,Donovan Primary School,6,N,0,371,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3329,Dorie School,9,Q,0,65,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1661,Douglas Park School,5,M,0,391,Contributing,State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3188,Dovedale School,5,M,0,44,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1650,Drummond Primary School,8,P,0,50,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1263,Drury School,7,O,0,409,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3731,Dunedin North Intermediate,7,O,0,220,Intermediate,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1192,Dunedin Rudolf Steiner School,9,Q,0,33,Full Primary,State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3331,Dunsandel School,9,Q,0,137,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
372,Dunstan High School,8,P,512,512,Secondary (Year 9-15),State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
3732,Duntroon School,9,Q,0,70,Full Primary,State,Waitaki District,Canterbury Region,Dunedin,Waitaki,Te Tai Tonga
2355,Durie Hill School,5,M,0,247,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3332,Duvauchelle School,6,N,0,33,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
2833,Dyer Street School,4,J,0,232,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3946,East Gore School,3,I,0,104,Contributing,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
371,East Otago High School,6,N,120,185,Secondary (Year 7-15),State,Waitaki District,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3733,East Taieri School,9,Q,0,297,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1264,East Tamaki School,1,A,0,262,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
2834,Eastern Hutt School,9,Q,0,690,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
2554,Ebbett Park School,1,B,0,111,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1265,Edendale School (Auckland),6,N,0,577,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
3947,Edendale School (Southland),8,P,0,121,Contributing,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
145,Edgecumbe College,3,H,207,207,Secondary (Year 9-15),State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1711,Edgecumbe School,3,I,0,182,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
79,Edgewater College,2,F,733,733,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1266,Edmonton School,4,K,0,238,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1267,Edmund Hillary School,1,A,0,148,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2164,Egmont Village School,8,P,0,130,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2835,Eketahuna School,4,K,0,96,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2555,Elgin School,1,B,0,69,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1190,Elim Christian College,8,P,427,930,Composite (Year 1-15),State: Integrated,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1268,Ellerslie School,9,Q,0,580,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
349,Ellesmere College,8,P,315,509,Secondary (Year 7-15),State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1269,Elm Park School,5,M,0,544,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
3778,Elmgrove School,7,O,0,265,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
3334,Elmwood Normal School,10,Z,0,527,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2556,Elsthorpe School,6,N,0,40,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1713,Elstow-Waihou Combined School,7,O,0,91,Full Primary,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2165,Eltham School,2,D,0,156,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
